iter	Logloss
0	0.6329318794
1	0.6047699308
2	0.565407453
3	0.5308323866
4	0.5073318899
5	0.4862788088
6	0.4671867205
7	0.4529335403
8	0.4419479331
9	0.4375723888
10	0.4255493754
11	0.4159483059
12	0.4098081002
13	0.4083084448
14	0.4009717497
15	0.3986449929
16	0.3933506847
17	0.3902469079
18	0.3844955308
19	0.3817369041
20	0.3771066451
21	0.3766748376
22	0.3745840626
23	0.3720376138
24	0.370048629
25	0.3677745151
26	0.3636803147
27	0.3612938833
28	0.3574344353
29	0.3551655532
30	0.3535977926
31	0.349982938
32	0.3481689741
33	0.3459611196
34	0.3451859933
35	0.3420973962
36	0.338200218
37	0.3355243528
38	0.3345270902
39	0.331874354
40	0.3295344971
41	0.3273813999
42	0.3255362414
43	0.3251161544
44	0.323388291
45	0.3212023462
46	0.3199238015
47	0.3173198966
48	0.3164432457
49	0.3138528985
50	0.3126542833
51	0.310183339
52	0.3086586797
53	0.3077572768
54	0.3045670073
55	0.304029699
56	0.303642287
57	0.3026275612
58	0.3009854654
59	0.2980305415
60	0.2954331597
61	0.2951812565
62	0.2938126203
63	0.2923965426
64	0.2902829489
65	0.2897133414
66	0.2888224903
67	0.2871411621
68	0.2858224639
69	0.2852014365
70	0.2842763893
71	0.2839088619
72	0.2829556974
73	0.2812932264
74	0.2800146699
75	0.2791277704
76	0.2788240405
77	0.2784526088
78	0.277245448
79	0.2767579301
80	0.276264949
81	0.273487954
82	0.27303737
83	0.2721009176
84	0.2690326192
85	0.2681435088
86	0.2676636506
87	0.265188918
88	0.2646015242
89	0.263813632
90	0.2622947463
91	0.2601122838
92	0.257732281
93	0.2537376796
94	0.2509939412
95	0.2503090568
96	0.2489279711
97	0.2481436942
98	0.2474419542
99	0.2469623619
100	0.2464107186
101	0.2436812406
102	0.2433606056
103	0.2414196124
104	0.2408315133
105	0.2379971577
106	0.237193441
107	0.2357839108
108	0.2353195541
109	0.2324876052
110	0.2312990886
111	0.2302346638
112	0.2295820408
113	0.2294575763
114	0.2293265702
115	0.2289736865
116	0.2272613935
117	0.2265411259
118	0.2253025738
119	0.2249413877
120	0.2241786893
121	0.2237231372
122	0.2235592187
123	0.2228126011
124	0.2223457871
125	0.2208903568
126	0.219583436
127	0.2183506348
128	0.2162510032
129	0.2152569963
130	0.2148371238
131	0.2145578136
132	0.2125565883
133	0.2120376249
134	0.2109878512
135	0.2088160214
136	0.2083612721
137	0.2082138807
138	0.2075406412
139	0.2069395794
140	0.2064769768
141	0.20359618
142	0.2026785681
143	0.2023378074
144	0.2007794069
145	0.2006405498
146	0.199565167
147	0.198214116
148	0.1977015433
149	0.1956741265
150	0.1955668644
151	0.1955324557
152	0.1944557668
153	0.1941201705
154	0.1931445698
155	0.1927514241
156	0.1926718327
157	0.1916117646
158	0.1914889091
159	0.190641263
160	0.1904693626
161	0.1904550925
162	0.1903451157
163	0.1899919545
164	0.1895154025
165	0.188785299
166	0.1879554298
167	0.1866932084
168	0.1862146199
169	0.1855806158
170	0.1844659141
171	0.184137524
172	0.1834865875
173	0.1834018577
174	0.1833405859
175	0.183060521
176	0.1821858398
177	0.1821378444
178	0.1816072158
179	0.1812860376
180	0.1806487321
181	0.1805741848
182	0.1802993851
183	0.179802572
184	0.1794729805
185	0.1770406208
186	0.1760719151
187	0.1752952795
188	0.1750945436
189	0.1743278533
190	0.1740723798
191	0.1729628269
192	0.1729534337
193	0.1729135102
194	0.1722291491
195	0.172074286
196	0.1718596351
197	0.1711668774
198	0.1709610105
199	0.1709139554
200	0.1706795374
201	0.1700865874
202	0.1686645747
203	0.1680585617
204	0.1668258115
205	0.1664722797
206	0.16623279
207	0.1660290083
208	0.1659322215
209	0.1654795753
210	0.1647820324
211	0.1642557628
212	0.1639991616
213	0.1631426543
214	0.1625556497
215	0.162459754
216	0.161886989
217	0.1618481938
218	0.160446136
219	0.1602533284
220	0.1600989467
221	0.1600568967
222	0.1597269779
223	0.1595382356
224	0.1589356708
225	0.1588337805
226	0.1583637988
227	0.1578808003
228	0.1572514353
229	0.156802016
230	0.1557985179
231	0.1556900182
232	0.1547307608
233	0.1545274946
234	0.1544836714
235	0.1536346402
236	0.152521223
237	0.152123597
238	0.1520363414
239	0.1516657593
240	0.1508807915
241	0.1500239066
242	0.1492028956
243	0.1481622309
244	0.1476787911
245	0.1475486871
246	0.1472592917
247	0.1469777669
248	0.1463244475
249	0.1458208678
250	0.1457658178
251	0.145053379
252	0.1438931432
253	0.1431953964
254	0.1428162028
255	0.1424493193
256	0.1421766805
257	0.1419312025
258	0.1417142901
259	0.1412698696
260	0.1406492336
261	0.1394434548
262	0.1380733587
263	0.1379376229
264	0.1378814679
265	0.1377761634
266	0.1376967979
267	0.1363793426
268	0.1360659636
269	0.1357417509
270	0.1354235712
271	0.1339667517
272	0.1331166973
273	0.1331115216
274	0.1325178125
275	0.1324338306
276	0.1321776177
277	0.1320083433
278	0.1318938693
279	0.1318026988
280	0.1313457108
281	0.1306865351
282	0.1302920733
283	0.1298653967
284	0.1297448766
285	0.1292177732
286	0.1290500764
287	0.1289996931
288	0.1282305292
289	0.1281396156
290	0.1275620064
291	0.1272193301
292	0.1266419505
293	0.1266296718
294	0.1257020821
295	0.1254735458
296	0.1253335246
297	0.1252549996
298	0.1250566883
299	0.1245623964
300	0.1238817902
301	0.123677134
302	0.1236207399
303	0.1232217153
304	0.1227788504
305	0.1226899591
306	0.1223084995
307	0.1220039311
308	0.1218881201
309	0.1211260635
310	0.1206641215
311	0.1206196336
312	0.1202795517
313	0.1197811374
314	0.1194637754
315	0.1193823537
316	0.1188934268
317	0.1182113745
318	0.1180498688
319	0.1180261238
320	0.1174157935
321	0.117404164
322	0.117262627
323	0.1172569409
324	0.1172485928
325	0.1170965078
326	0.1163691676
327	0.1162426752
328	0.1162189746
329	0.1159201142
330	0.1155848516
331	0.1155072485
332	0.1149873953
333	0.1148553549
334	0.1144315316
335	0.1138700123
336	0.1138088107
337	0.1135183261
338	0.1131868084
339	0.1130845693
340	0.1125535559
341	0.1122668905
342	0.1120272251
343	0.1119462514
344	0.1118687909
345	0.1115367708
346	0.1112127555
347	0.1105767582
348	0.1104890529
349	0.1104815424
350	0.1099978629
351	0.1098591887
352	0.109418697
353	0.1088476301
354	0.108580087
355	0.1082158463
356	0.1081468127
357	0.1079896923
358	0.1079689251
359	0.107689579
360	0.1076333234
361	0.1075751821
362	0.1073575297
363	0.1072314222
364	0.1071619135
365	0.1069296161
366	0.1067283984
367	0.1066539651
368	0.1060088122
369	0.1059709848
370	0.1055851888
371	0.1054718235
372	0.1053978629
373	0.1053873349
374	0.1052312657
375	0.1052022203
376	0.1048603362
377	0.1046269943
378	0.1044773315
379	0.1044726665
380	0.1040825692
381	0.10393756
382	0.1037381422
383	0.1035560136
384	0.1034264907
385	0.1033290333
386	0.1032459882
387	0.1031717578
388	0.1027306819
389	0.1023520378
390	0.102007654
391	0.1017743546
392	0.1014335415
393	0.1011432949
394	0.1007790692
395	0.1006408564
396	0.1003689568
397	0.1001359708
398	0.09978249363
399	0.09923921176
400	0.09898603141
401	0.09864192075
402	0.09811099213
403	0.09791218208
404	0.09787545286
405	0.09786362343
406	0.09785935262
407	0.097667298
408	0.09751223985
409	0.09737749925
410	0.09693840233
411	0.09662406627
412	0.09661372474
413	0.09656449722
414	0.09640546733
415	0.09633534059
416	0.09589863125
417	0.09570990985
418	0.09541451143
419	0.09511820598
420	0.09463685601
421	0.09436586381
422	0.09420985755
423	0.09374081416
424	0.09355141417
425	0.09322070954
426	0.09285644574
427	0.09281743487
428	0.09262793132
429	0.09240080318
430	0.09226326164
431	0.09223478785
432	0.0922014014
433	0.09213661601
434	0.09200192692
435	0.09197410709
436	0.09189020116
437	0.09149826359
438	0.091298122
439	0.0912635845
440	0.09112067349
441	0.09111270613
442	0.0910646729
443	0.09082490842
444	0.09076978025
445	0.09076743482
446	0.0906468382
447	0.09063370456
448	0.09056283264
449	0.09031569618
450	0.09001517333
451	0.08990611022
452	0.08960140232
453	0.08956060784
454	0.08928350777
455	0.08908078426
456	0.08884890911
457	0.08884364564
458	0.08856035386
459	0.08850336382
460	0.08849079462
461	0.08845877335
462	0.08845639644
463	0.08844461068
464	0.08820285797
465	0.08805096843
466	0.08802525697
467	0.08796762776
468	0.08785475186
469	0.0877201271
470	0.0875560484
471	0.08753486237
472	0.08749268276
473	0.08734048614
474	0.08724152642
475	0.0871278889
476	0.08711947802
477	0.08711765107
478	0.08696601889
479	0.0869536169
480	0.08688645163
481	0.0868262022
482	0.08658004162
483	0.08656111842
484	0.08643929084
485	0.08632038603
486	0.08620282177
487	0.0860502832
488	0.08572117331
489	0.08540300852
490	0.08532212195
491	0.08526409879
492	0.0851381805
493	0.08513394775
494	0.08499029251
495	0.08471238685
496	0.08461766498
497	0.08438019461
498	0.08436009899
499	0.08423557929
