iter	Passed	Remaining
0	0	402
1	0	244
2	1	275
3	2	291
4	2	264
5	3	277
6	4	286
7	4	296
8	5	302
9	5	282
10	6	289
11	7	292
12	7	293
13	8	278
14	8	282
15	8	270
16	9	277
17	10	279
18	11	280
19	11	283
20	12	284
21	12	274
22	13	275
23	14	278
24	14	278
25	15	282
26	16	282
27	16	284
28	17	284
29	18	285
30	18	282
31	19	284
32	20	285
33	20	286
34	21	281
35	21	280
36	22	281
37	23	283
38	23	280
39	24	281
40	25	282
41	25	282
42	26	282
43	26	278
44	27	279
45	28	279
46	29	279
47	29	280
48	30	280
49	31	279
50	31	279
51	32	279
52	33	281
53	33	280
54	34	280
55	35	278
56	35	274
57	35	272
58	36	272
59	37	272
60	37	272
61	38	272
62	39	272
63	39	272
64	40	272
65	41	271
66	42	272
67	42	272
68	43	272
69	44	271
70	44	271
71	45	268
72	45	268
73	46	267
74	47	267
75	48	267
76	48	267
77	49	267
78	50	266
79	50	266
80	51	265
81	52	266
82	52	265
83	53	265
84	54	264
85	54	264
86	55	263
87	56	263
88	56	263
89	57	263
90	58	262
91	59	262
92	59	262
93	60	261
94	61	261
95	62	261
96	62	260
97	63	260
98	64	260
99	64	259
100	65	259
101	66	259
102	67	258
103	67	258
104	68	258
105	69	257
106	69	256
107	70	256
108	71	255
109	71	254
110	72	254
111	73	254
112	74	253
113	74	253
114	75	252
115	76	252
116	76	251
117	77	251
118	78	251
119	79	250
120	79	250
121	80	249
122	81	248
123	81	248
124	82	247
125	83	247
126	83	246
127	84	246
128	85	245
129	86	245
130	86	244
131	87	244
132	88	243
133	88	243
134	89	242
135	90	241
136	91	241
137	91	240
138	92	239
139	93	239
140	93	238
141	94	238
142	95	237
143	95	237
144	96	236
145	97	236
146	98	235
147	98	234
148	99	234
149	100	233
150	100	233
151	101	232
152	102	232
153	103	231
154	103	231
155	104	230
156	105	230
157	106	229
158	106	228
159	107	228
160	107	227
161	108	225
162	109	225
163	109	224
164	110	224
165	111	223
166	111	222
167	112	222
168	113	221
169	113	221
170	114	220
171	115	219
172	115	219
173	116	218
174	117	217
175	118	217
176	118	216
177	119	215
178	119	215
179	120	214
180	121	213
181	122	213
182	122	212
183	123	212
184	124	211
185	124	211
186	125	210
187	126	209
188	127	209
189	127	208
190	128	207
191	129	207
192	129	205
193	130	205
194	130	204
195	131	203
196	132	203
197	132	202
198	133	202
199	134	201
200	134	200
201	135	199
202	136	199
203	136	198
204	137	198
205	138	197
206	139	196
207	139	196
208	140	195
209	141	195
210	141	194
211	142	193
212	143	193
213	144	192
214	144	191
215	145	191
216	145	190
217	146	189
218	147	188
219	147	188
220	148	187
221	149	187
222	150	186
223	150	185
224	151	184
225	151	184
226	152	183
227	153	182
228	154	182
229	154	181
230	155	181
231	156	180
232	156	179
233	157	179
234	158	178
235	159	178
